genename	refseq
PRAMEF11	NM_001146344
HNRNPCL1	NM_001013631
PRAMEF2	NM_023014
PRAMEF4	NM_001009611
PRAMEF10	NM_001039361
PRAMEF7	NM_001012277
PRAMEF6	NM_001010889
PRAMEF27	NM_001300891
HNRNPCL3	NM_001382358
PRAMEF25	NM_001310134
HNRNPCL2	NM_001136561
PRAMEF26	NM_001306072
HNRNPCL4	NM_001302551
PRAMEF9	NM_001010890
PRAMEF13	NM_001291380
PRAMEF18	NM_001099850
PRAMEF5	NM_001013407
PRAMEF8	NM_001012276
PRAMEF33	NM_001291381
OR9G4	NM_001390832
OR9G4	NM_001005284
OR9G1	NM_001005213
OR9G9	NM_001013358
GRK1	NM_002929
TOLLIP	NM_019009
TOLLIP	NM_001318514
TOLLIP	NM_001318516
TOLLIP	NM_001318515
TOLLIP	NM_001318512
BRSK2	NM_003957
BRSK2	NM_001256629
BRSK2	NM_001256627
BRSK2	NM_001282218
BRSK2	NM_001256630
DUSP8	NM_004420
KRTAP5-1	NM_001005922
KRTAP5-2	NM_001004325
KRTAP5-3	NM_001012708
KRTAP5-4	NM_001347674
KRTAP5-4	NM_001012709
KRTAP5-5	NM_001001480
MOB2	NM_001172223
MOB2	NM_053005
PRY	NM_004676
TSPY8	NM_001243721
TSPY4	NM_001164471
USP9Y	NM_004654
PRY2	NM_001002758
EIF1AY	NM_004681
EIF1AY	NM_001278612
BPY2	NM_004678
TSPY10	NM_001282469
TSPY10	NM_001320962
TSPY1	NM_003308
TSPY1	NM_001320964
TSPY1	NM_001197242
OR4C12	NM_001005270
OR4C45	NM_001005513
RBMY1D	NM_001006120
RBMY1D	NM_001320949
RBMY1D	NM_001320950
HSFY2	NM_001001877
HSFY2	NM_153716
ADIPOR2	NM_001375364
ADIPOR2	NM_001375365
ADIPOR2	NM_001375363
ADIPOR2	NM_024551
CACNA2D4	NM_172364
LRTM2	NM_001163926
LRTM2	NM_001163925
LRTM2	NM_001039029
KDM5D	NM_004653
